TICKETS,FECHA,ZONAS,SUCURSALES,TECNICO REFERENTE,TRABAJO,PRIORIDAD,RUBRO,ESTADO,,CHECKLIST,TICKET RELACIONADO,OBSERVACIONES,RESPONSABLE,PRESUPUESTO,N PRESUP,IMAGEN,DIRECCION
1120-52753,2/11/2020,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Cortina/Carolina Diaz,Normal,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
1120-52754,2/11/2020,CABA,San Cristobal,Aquino Diego Daniel,Piso,Normal,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F4jbWIoWySZl94J_aK0lqw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=353.7428&pitch=0&thumbfov=100,"Av. San Juan 3001, C1233ABA CABA"
1120-52755,2/11/2020,OESTE,CDD Merlo,Encalada Roberto Nahuel,Pileta,Normal,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=whu_ZLx0juXJQzSpoHukcg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.47855&pitch=0&thumbfov=100,"Av. del Libertador no 556, Merlo, Provincia de Buenos Aires"
1120-52756,2/11/2020,OESTE,CDP Morón/Entre Rios 1036/56,Encalada Roberto Nahuel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,resta aprob. de presup.,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipNB_6U9JXhyhpq_ze47uuj1AVfYTZnVQjEvEd7a=w480-h240-k-no,"Entre Ríos 1098, B1708DRO Morón, Provincia de Buenos Aires"
1120-52757,2/11/2020,OESTE,CDP Morón/Entre Rios 1036/56,Encalada Roberto Nahuel,Caja reductora de la cortina,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipNB_6U9JXhyhpq_ze47uuj1AVfYTZnVQjEvEd7a=w480-h240-k-no,"Entre Ríos 1098, B1708DRO Morón, Provincia de Buenos Aires"
1120-52758,2/11/2020,SUR,Aeropuerto Ezeiza ,Sarmiento Ariel,Colocar termo,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipOZnXY5eEajH7UwIwfDY7i1weqiAMNJeg-33EVz=w426-h240-k-no,"RN A002 5, B1802 Ezeiza, Provincia de Buenos Aires"
1120-52759,2/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminarias/Luis Amaro,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52760,2/11/2020,SUR,CDD Bernal,Sarmiento Ariel,Colocar ventiladores de pared,Normal,ELECTRICIDAD,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipOYs6ubhzqN3MBReuqmHhpB3Bt0RrpJ1Pv6nrxl=w426-h240-k-no,"Av. Los Quilmes 1938, Bernal Oeste, Provincia de Buenos Aires"
1120-52761,2/11/2020,OESTE,CDD Tapiales,Encalada Roberto Nahuel,Cortina,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/171.IMAGEN.134646.jpg,"Humaita 1156, Tapiales, Provincia de Buenos Aires"
1120-52762,2/11/2020,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Mingitorios/Carolina Diaz,Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
