ZONA,NOMBRE,DIRECCION,TELEFONO,IMAGEN_SUCURSAL,AREA_INTERNA,REGION_OPERATIVA,USO_DESTINO,METROS_CUADRADOS
CABA,"Villa Urquiza","Av. Monroe Nº 5254",4521-9949,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uumhUc7LRrXN3Udl3AMh7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.50993&pitch=0&thumbfov=100,Z2,Metro,"Sucursal",309
CABA,"Oficios Judiciales","",,,,,"",
CABA,"Ministerio (JP)","",,,,,"",
CABA,"Villa Soldati","José Martí Nº 2995",4918-5843,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9AhYtOooezBNI3cSQrnyXg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=229.0187&pitch=0&thumbfov=100,Z3,Metro,"Sucursal",125
CABA,"Villa Real","Av. Lope de Vega 2888, C1417COZ CABA",4568-1817,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6dQg0eI-1pAH8FnGQsxQGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=212.42621&pitch=0&thumbfov=100,,,"",
CABA,"Villa Pueyrredon","Terrada Nº 4675",4587-8270,https://lh5.googleusercontent.com/p/AF1QipP8GOeNpjk9rrsSYFlM5dZAcKQodW0hJ79-fp4y=w426-h240-k-no,Z2,Metro,"Sucursal",166
CABA,"Villa Lugano","Av. Riestra 5719, C1439BYI CABA",4601-0018,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oO_v5DXmHH1m3NFxf5oxSA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=317.20813&pitch=0&thumbfov=100,,,"",
CABA,"Villa Devoto","Av. San Martín 6354, C1419ICN CABA",4501-0684,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=helRrLMtzaXUAkAn91HGLA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=206.60016&pitch=0&thumbfov=100,,,"",
CABA,"Villa Del Parque","Helguera Nº 2901",4504-7235,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N9GcHjdJZZRlvlPklGoiVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.31091&pitch=0&thumbfov=100,Z2,Metro,"Sucursal",161
CABA,"Villa Crespo","Av. Scalabrini Ortiz Nº 176",4857-6829,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mVfo1PjAPLUQ8Iojm-fKAw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.45154&pitch=0&thumbfov=100,Z2,Metro,"Sucursal",343
CABA,"Tribunales","Paraná Nº 777",4372-4692,https://lh5.googleusercontent.com/proxy/v4e1LJxknRKrdyzgfIx2aIRPPrlesu6yQc3DR6JhMkt29lf0O98KC81o4iH0T2OLYb65SD8dNCHksL1oOiRpnaIB4-KEEFLkncZZEfYdk5szeyhuln6wtv9Qe8wznYtw6bQ50CQ_qqZlz0hPvqwH4ZkHXUH-cVRP8g6-R_pSBOrQ=w427-h240-k-no,Z2,Metro,"Sucursal",341
CABA,"Tienda Filatelia Correo","Tte. Gral. Juan Domingo Perón 321, C1038 AAG, Buenos Aires",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1eBHxgMiBsTYj1YIrecOog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=350.7095&pitch=0&thumbfov=100,,,"",
EDIFICIOS,"Suc. Ctro. Postal Internacional","Av. Antártida Argentina 1100, C1104 CABA",4316-1742,https://lh5.googleusercontent.com/p/AF1QipM2gQmhZSowiKsslaTrSCdUty1zUngRhMo0nKvJ=w408-h306-k-no,,,"",
CABA,"Scios. Especiales/av. san juan 1349-cap.","Av. San Juan 1349, C1148AAB CABA",4304-8497,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KRui9hbjTM2NiopC_IbYIQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=351.38156&pitch=0&thumbfov=100,,,"",
CABA,"San Telmo","Bernardo De Irigoyen Nº 698",4331-0664,https://lh5.googleusercontent.com/p/AF1QipOQY1ygS9bAHZiCvt_a-_qFspDzKepOchZ0X4nC=w408-h544-k-no,Z3,Metro,"Sucursal",203
CABA,"Plaza Rodriguez Peña","Uruguay Nº 1069",,,Z1,Metro,"Sucursal",142
CABA,"San Cristobal","Av. San Juan N° 3001",4957-1503,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F4jbWIoWySZl94J_aK0lqw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=353.7428&pitch=0&thumbfov=100,Z3,Metro,"Sucursal",200
CABA,"Saavedra","Plaza Nº 3855",4542-3695,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tmFqoN9bAeNoWcgYwdrujw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=43.055523&pitch=0&thumbfov=100,Z1,Metro,"Sucursal",156
CABA,"Reservistas Argentinos 101/Liniers","Av. Reservistas Argentinos 101, Buenos Aires",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uiA_okMOft0NHd2Fps7ZTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=57.711456&pitch=0&thumbfov=100,,,"",
CABA,"Recoleta","Av. Callao 1577, C1024 CABA",4816-7614,https://argentinafirm.com/photo/85223.jpg,,,"",
CABA,"Plaza R. Peña","Uruguay 1069, C1016 CABA",4816-7543,https://lh5.googleusercontent.com/p/AF1QipPzt6CI74dzTlhpOcW3eW9rnZyN2KQigLjnEsrl=w408-h306-k-no,,,"",
CABA,"Plaza Las Heras","Laprida Nº 2128",4807-3038,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DIKu37dd2mIB12NHyplhFg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.9083&pitch=0&thumbfov=100,Z1,Metro,"Sucursal",94
CABA,"Plaza Italia","Av. Santa Fe Nº 3882",4831-0707,https://lh5.googleusercontent.com/p/AF1QipO9ASNao3T3sFLwJ-p0cWHU3NcbngrOqXRpocBx=w408-h544-k-no,Z1,Metro,"Sucursal",283
CABA,"Paternal","Av. San Martin 2710",4588-0790,https://lh5.googleusercontent.com/p/AF1QipNPVfI_zmUAhPOTXFbjICGfkESpbLTvj_zzWFlr=w408-h306-k-no,Z2,Metro,"Sucursal",227
CABA,"Parque Patricios","Av. Caseros 2469 C1264AAE, C1264 AAE, Buenos Aires",2004-7032,https://lh5.googleusercontent.com/p/AF1QipMsBQa6_hfvIcsF46RoRXXewR6wHwN57A_iBG6F=w408-h544-k-no,,,"",
CABA,"Parque Chas","Av. de los Incas 4624, C1427 CABA",4521-8357,https://lh5.googleusercontent.com/proxy/G0yQ-_nh9BBj-CrpQokZx2ysq__oz-gNdwOoDer7chk55Acxg1JBJW-BrkCy9_cLJXC4JWLNUYUzw0nQnwj1I6PjRcuejaNQaPiCjobmRJsDP_yH3ts-LXsukXW9IEQ_n6hLTDX1rPrwpa4aubMtJw27-yydhJvjG594ShyYre1W=w408-h726-k-no,,,"",
CABA,"Parque Chacabuco","Curapaligue Nº 815",4632-9496,https://lh5.googleusercontent.com/p/AF1QipPS-or2ypf2UjaPZFfroiIBQfzFXg0JkNOwtWK6=w408-h306-k-no,Z3,Metro,"Sucursal",85
